'7T08BV08', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'7T08BV08', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'7T08BV08', '0', '3', 'http://www.wikidata.org/prop/P2049'
'VPE8YICH', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'VPE8YICH', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'VPE8YICH', '0', '3', 'http://www.wikidata.org/prop/P2049', 3, 'http://www.wikidata.org/prop/direct/P138', 1, 'http://www.wikidata.org/prop/P2049', 3
'4242OQL2', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'4242OQL2', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'4242OQL2', '0', '3', 'http://www.wikidata.org/prop/P2049', 3, 'http://www.wikidata.org/prop/P2049', 3, 'http://www.wikidata.org/prop/direct/P547', 1
'4XD01PHK', '0', '1', 'http://www.wikidata.org/prop/P2043', 3, 'http://www.wikidata.org/prop/direct/P17', 1, 'http://www.wikidata.org/prop/P2043', 3
'4XD01PHK', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'4XD01PHK', '0', '3', 'http://www.wikidata.org/prop/direct/P669', 13, 'http://www.wikidata.org/prop/direct/P559', 2, 'http://www.wikidata.org/prop/direct/P669', 13, 'http://www.wikidata.org/prop/direct/P1444', 2, 'http://www.wikidata.org/prop/direct/P47', 11
'4XD01PHK', '0', '4', 'http://www.wikidata.org/prop/direct/P47'
'WFX7G817', '0', '1', 'http://www.wikidata.org/prop/P2043'
'WFX7G817', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'WFX7G817', '0', '3', 'http://www.wikidata.org/prop/direct/P669', 4, 'http://www.wikidata.org/prop/direct/P669', 4, 'http://www.wikidata.org/prop/direct/P47', 3
'WFX7G817', '0', '4', 'http://www.wikidata.org/prop/direct/P669', 4, 'http://www.wikidata.org/prop/direct/P669', 4, 'http://www.wikidata.org/prop/direct/P47', 4
'S3ZI6VYU', '0', '1', 'http://www.wikidata.org/prop/P2043'
'S3ZI6VYU', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'S3ZI6VYU', '0', '3', 'http://www.wikidata.org/prop/direct/P669', 13, 'http://www.wikidata.org/prop/direct/P669', 13, 'http://www.wikidata.org/prop/direct/P47', 10
'S3ZI6VYU', '0', '4', 'http://www.wikidata.org/prop/direct/P669', 13, 'http://www.wikidata.org/prop/direct/P669', 13, 'http://www.wikidata.org/prop/direct/P47', 13
'YJ06P0ES', '0', '1', 'http://www.wikidata.org/prop/P2043'
'YJ06P0ES', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'YJ06P0ES', '0', '3', 'http://www.wikidata.org/prop/direct/P669', 3, 'http://www.wikidata.org/prop/direct/P669', 3, 'http://www.wikidata.org/prop/direct/P47', 3
'YJ06P0ES', '0', '4', 'http://www.wikidata.org/prop/direct/P47', 3, 'http://www.wikidata.org/prop/direct/P669', 2, 'http://www.wikidata.org/prop/direct/P47', 3
'PTKLBAXC', '0', '1', 'http://www.wikidata.org/prop/P2043'
'PTKLBAXC', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'PTKLBAXC', '0', '3', 'http://www.wikidata.org/prop/direct/P669', 3, 'http://www.wikidata.org/prop/direct/P559', 1, 'http://www.wikidata.org/prop/direct/P669', 3, 'http://www.wikidata.org/prop/direct/P1444', 1, 'http://www.wikidata.org/prop/direct/P47', 3
'PTKLBAXC', '0', '4', 'http://www.wikidata.org/prop/direct/P47', 3, 'http://www.wikidata.org/prop/direct/P669', 1, 'http://www.wikidata.org/prop/direct/P47', 3
'D0P62L03', '0', '1', 'http://www.wikidata.org/prop/direct/P17', 26, 'http://www.wikidata.org/prop/direct/P17', 26, 'http://www.wikidata.org/prop/direct/P205', 26
'D0P62L03', '0', '2', 'http://www.wikidata.org/prop/direct/P706'
'D0P62L03', '0', '3', 'http://www.wikidata.org/prop/direct/P17', 26, 'http://www.wikidata.org/prop/direct/P17', 26, 'http://www.wikidata.org/prop/direct/P205', 26
'D0P62L03', '0', '4', 'http://www.wikidata.org/prop/direct/P974', 12, 'http://www.wikidata.org/prop/direct/P974', 12, 'http://www.wikidata.org/prop/direct/P138', 11
'BG6FPFS8', '0', '1', 'http://www.wikidata.org/prop/direct/P17', 6, 'http://www.wikidata.org/prop/direct/P17', 6, 'http://www.wikidata.org/prop/direct/P205', 6
'BG6FPFS8', '0', '2', 'http://www.wikidata.org/prop/direct/P706'
'BG6FPFS8', '0', '3', 'http://www.wikidata.org/prop/direct/P17', 6, 'http://www.wikidata.org/prop/direct/P17', 6, 'http://www.wikidata.org/prop/direct/P205', 6
'BG6FPFS8', '0', '4', 'http://www.wikidata.org/prop/direct/P974', 3, 'http://www.wikidata.org/prop/direct/P974', 3, 'http://www.wikidata.org/prop/direct/P138', 3
'PAZP50BT', '0', '1', 'http://www.wikidata.org/prop/direct/P17', 18, 'http://www.wikidata.org/prop/direct/P17', 18, 'http://www.wikidata.org/prop/direct/P205', 18
'PAZP50BT', '0', '2', 'http://www.wikidata.org/prop/direct/P706'
'PAZP50BT', '0', '3', 'http://www.wikidata.org/prop/direct/P17', 18, 'http://www.wikidata.org/prop/direct/P17', 18, 'http://www.wikidata.org/prop/direct/P205', 18
'PAZP50BT', '0', '4', 'http://www.wikidata.org/prop/direct/P974', 9, 'http://www.wikidata.org/prop/direct/P974', 9, 'http://www.wikidata.org/prop/direct/P138', 9
'5XS1QXNU', '0', '1', 'http://www.wikidata.org/prop/direct/P17', 22, 'http://www.wikidata.org/prop/direct/P17', 22, 'http://www.wikidata.org/prop/direct/P205', 22
'5XS1QXNU', '0', '2', 'http://www.wikidata.org/prop/direct/P706'
'5XS1QXNU', '0', '3', 'http://www.wikidata.org/prop/direct/P17', 22, 'http://www.wikidata.org/prop/direct/P17', 22, 'http://www.wikidata.org/prop/direct/P205', 22
'5XS1QXNU', '0', '4', 'http://www.wikidata.org/prop/direct/P974', 11, 'http://www.wikidata.org/prop/direct/P974', 11, 'http://www.wikidata.org/prop/direct/P138', 11
'ZKCGQVVB', '0', '1', 'http://www.wikidata.org/prop/direct/P17', 12, 'http://www.wikidata.org/prop/direct/P17', 12, 'http://www.wikidata.org/prop/direct/P205', 12
'ZKCGQVVB', '0', '2', 'http://www.wikidata.org/prop/direct/P706'
'ZKCGQVVB', '0', '3', 'http://www.wikidata.org/prop/direct/P17', 12, 'http://www.wikidata.org/prop/direct/P17', 12, 'http://www.wikidata.org/prop/direct/P205', 12
'ZKCGQVVB', '0', '4', 'http://www.wikidata.org/prop/direct/P974', 6, 'http://www.wikidata.org/prop/direct/P974', 6, 'http://www.wikidata.org/prop/direct/P138', 6
'BDHKBSPT', '0', '1', 'http://www.wikidata.org/prop/direct/P974', 4, 'http://www.wikidata.org/prop/direct/P974', 4, 'http://www.wikidata.org/prop/direct/P138', 4
'BDHKBSPT', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'BDHKBSPT', '0', '3', 'http://www.wikidata.org/prop/direct/P30'
'KICTDQ82', '0', '1', 'http://www.wikidata.org/prop/direct/P974', 6, 'http://www.wikidata.org/prop/direct/P974', 6, 'http://www.wikidata.org/prop/direct/P138', 6
'KICTDQ82', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'KICTDQ82', '0', '3', 'http://www.wikidata.org/prop/direct/P30'
'8YW3NYU3', '0', '1', 'http://www.wikidata.org/prop/direct/P974', 7, 'http://www.wikidata.org/prop/direct/P974', 7, 'http://www.wikidata.org/prop/direct/P138', 7
'8YW3NYU3', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'8YW3NYU3', '0', '3', 'http://www.wikidata.org/prop/direct/P30'
'2A0YAYYV', '0', '1', 'http://www.wikidata.org/prop/direct/P974', 11, 'http://www.wikidata.org/prop/direct/P974', 11, 'http://www.wikidata.org/prop/direct/P138', 11
'2A0YAYYV', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'2A0YAYYV', '0', '3', 'http://www.wikidata.org/prop/direct/P30'
'B7363ENU', '0', '1', 'http://www.wikidata.org/prop/direct/P974', 13, 'http://www.wikidata.org/prop/direct/P974', 13, 'http://www.wikidata.org/prop/direct/P138', 13
'B7363ENU', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'B7363ENU', '0', '3', 'http://www.wikidata.org/prop/direct/P30'
'GYGNINVF', '0', '1', 'http://www.wikidata.org/prop/direct/P195'
'GYGNINVF', '0', '2', 'http://www.wikidata.org/prop/direct/P186'
'GYGNINVF', '0', '3', 'http://www.wikidata.org/prop/direct/P276'
'GYGNINVF', '0', '4', 'http://www.wikidata.org/prop/direct/P180'
'0ZU3G7C3', '0', '1', 'http://www.wikidata.org/prop/direct/P195'
'0ZU3G7C3', '0', '2', 'http://www.wikidata.org/prop/direct/P186'
'0ZU3G7C3', '0', '3', 'http://www.wikidata.org/prop/direct/P276'
'0ZU3G7C3', '0', '4', 'http://www.wikidata.org/prop/direct/P180', 3, 'http://www.wikidata.org/prop/direct/P136', 2, 'http://www.wikidata.org/prop/direct/P180', 3
'MLCSVH3P', '0', '1', 'http://www.wikidata.org/prop/direct/P195', 16, 'http://www.wikidata.org/prop/direct/P195', 16, 'http://www.wikidata.org/prop/direct/P276', 16
'MLCSVH3P', '0', '2', 'http://www.wikidata.org/prop/direct/P186'
'MLCSVH3P', '0', '3', 'http://www.wikidata.org/prop/direct/P276', 5, 'http://www.wikidata.org/prop/direct/P195', 1, 'http://www.wikidata.org/prop/direct/P276', 5
'MLCSVH3P', '0', '4', 'http://www.wikidata.org/prop/direct/P180'
